"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun May 11 21:03:41 GMT 2025","Sun May 11 21:03:42 GMT 2025","836","","tests.chapter3.fundamentals.WebFormTests","","tests.chapter3.fundamentals.WebFormTests","datePickerTest","datePickerTest()",""
"passed","Sun May 11 21:03:47 GMT 2025","Sun May 11 21:03:47 GMT 2025","719","","tests.chapter3.fundamentals.WebFormTests","","tests.chapter3.fundamentals.WebFormTests","colorPickerTest","colorPickerTest()",""
"passed","Sun May 11 21:04:06 GMT 2025","Sun May 11 21:04:07 GMT 2025","474","","tests.homepage.HomePageTests","","tests.homepage.HomePageTests","descriptionText","descriptionText()",""
"passed","Sun May 11 21:04:00 GMT 2025","Sun May 11 21:04:00 GMT 2025","507","","tests.components.FooterTests","","tests.components.FooterTests","homePageFooterViewTest","homePageFooterViewTest()",""
"broken","Sun May 11 21:03:42 GMT 2025","Sun May 11 21:03:45 GMT 2025","2839","","tests.chapter3.fundamentals.WebFormTests","","tests.chapter3.fundamentals.WebFormTests","checkBoxTest","checkBoxTest()",""
"broken","Sun May 11 21:03:48 GMT 2025","Sun May 11 21:03:49 GMT 2025","748","","tests.chapter3.fundamentals.WebFormTests","","tests.chapter3.fundamentals.WebFormTests","fileInputTest","fileInputTest()",""
"passed","Sun May 11 21:04:05 GMT 2025","Sun May 11 21:04:06 GMT 2025","835","","tests.homepage.HomePageTests","","tests.homepage.HomePageTests","chaptersTest","chaptersTest()",""
"broken","Sun May 11 21:03:57 GMT 2025","Sun May 11 21:03:58 GMT 2025","1585","","tests.chapter4.browser_agnostic.DialogBoxesTests","","tests.chapter4.browser_agnostic.DialogBoxesTests","launchConfirmTest","launchConfirmTest()",""
"failed","Sun May 11 21:03:37 GMT 2025","Sun May 11 21:03:38 GMT 2025","1143","","tests.chapter3.fundamentals.WebFormTests","","tests.chapter3.fundamentals.WebFormTests","rangeTest","rangeTest()",""
"broken","Sun May 11 21:03:55 GMT 2025","Sun May 11 21:03:57 GMT 2025","1592","","tests.chapter4.browser_agnostic.DialogBoxesTests","","tests.chapter4.browser_agnostic.DialogBoxesTests","launchPromptTest","launchPromptTest()",""
"passed","Sun May 11 21:03:34 GMT 2025","Sun May 11 21:03:34 GMT 2025","893","","tests.chapter3.fundamentals.WebFormTests","","tests.chapter3.fundamentals.WebFormTests","disabledInputTest","disabledInputTest()",""
"passed","Sun May 11 21:03:31 GMT 2025","Sun May 11 21:03:34 GMT 2025","2276","","tests.chapter3.fundamentals.WebFormTests","","tests.chapter3.fundamentals.WebFormTests","textAreaTest","textAreaTest()",""
"broken","Sun May 11 21:04:01 GMT 2025","Sun May 11 21:04:03 GMT 2025","1599","","tests.components.HeaderTests","","tests.components.HeaderTests","dialogBoxesHeaderDisplayTest","dialogBoxesHeaderDisplayTest()",""
"broken","Sun May 11 21:03:34 GMT 2025","Sun May 11 21:03:36 GMT 2025","1833","","tests.chapter3.fundamentals.WebFormTests","","tests.chapter3.fundamentals.WebFormTests","submitButtonTest","submitButtonTest()",""
"passed","Sun May 11 21:04:00 GMT 2025","Sun May 11 21:04:01 GMT 2025","1136","","tests.components.FooterTests","","tests.components.FooterTests","webFormHeaderLogoTest","webFormHeaderLogoTest()",""
"broken","Sun May 11 21:03:50 GMT 2025","Sun May 11 21:03:52 GMT 2025","1608","","tests.chapter4.browser_agnostic.DialogBoxesTests","","tests.chapter4.browser_agnostic.DialogBoxesTests","defaultViewTest","defaultViewTest()",""
"broken","Sun May 11 21:03:49 GMT 2025","Sun May 11 21:03:50 GMT 2025","1579","","tests.chapter4.browser_agnostic.DialogBoxesTests","","tests.chapter4.browser_agnostic.DialogBoxesTests","launchModalTest","launchModalTest()",""
"passed","Sun May 11 21:03:36 GMT 2025","Sun May 11 21:03:37 GMT 2025","917","","tests.chapter3.fundamentals.WebFormTests","","tests.chapter3.fundamentals.WebFormTests","dropDownDataListOptionsTest","dropDownDataListOptionsTest()",""
"passed","Sun May 11 21:03:39 GMT 2025","Sun May 11 21:03:40 GMT 2025","980","","tests.chapter3.fundamentals.WebFormTests","","tests.chapter3.fundamentals.WebFormTests","dropDownSelectTest","dropDownSelectTest()",""
"passed","Sun May 11 21:04:05 GMT 2025","Sun May 11 21:04:05 GMT 2025","519","","tests.components.HeaderTests","","tests.components.HeaderTests","homePageHeaderViewTest","homePageHeaderViewTest()",""
"passed","Sun May 11 21:03:40 GMT 2025","Sun May 11 21:03:41 GMT 2025","783","","tests.chapter3.fundamentals.WebFormTests","","tests.chapter3.fundamentals.WebFormTests","dropDownSelectOptionsTest","dropDownSelectOptionsTest()",""
"passed","Sun May 11 21:04:03 GMT 2025","Sun May 11 21:04:05 GMT 2025","1778","","tests.components.HeaderTests","","tests.components.HeaderTests","webFormHeaderLogoTest","webFormHeaderLogoTest()",""
"broken","Sun May 11 21:03:52 GMT 2025","Sun May 11 21:03:55 GMT 2025","2899","","tests.chapter4.browser_agnostic.DialogBoxesTests","","tests.chapter4.browser_agnostic.DialogBoxesTests","launchAlertTest","launchAlertTest()",""
"passed","Sun May 11 21:03:47 GMT 2025","Sun May 11 21:03:48 GMT 2025","752","","tests.chapter3.fundamentals.WebFormTests","","tests.chapter3.fundamentals.WebFormTests","readOnlyInputTest","readOnlyInputTest()",""
"broken","Sun May 11 21:03:45 GMT 2025","Sun May 11 21:03:47 GMT 2025","1846","","tests.chapter3.fundamentals.WebFormTests","","tests.chapter3.fundamentals.WebFormTests","radioButtonTest","radioButtonTest()",""
"passed","Sun May 11 21:03:38 GMT 2025","Sun May 11 21:03:39 GMT 2025","945","","tests.chapter3.fundamentals.WebFormTests","","tests.chapter3.fundamentals.WebFormTests","inputFieldsTest","inputFieldsTest()",""
"broken","Sun May 11 21:03:58 GMT 2025","Sun May 11 21:04:00 GMT 2025","1608","","tests.components.FooterTests","","tests.components.FooterTests","dialogBoxesHeaderDisplayTest","dialogBoxesHeaderDisplayTest()",""
